"fips_county","county_name","cases_asd","pop","prevalence_asd","prevalence_asd_ci","map_category"
"49015","Emery","36","3011","1.19561607439389","1.2 (0.9-1.7)","1%"
"49017","Garfield","19","1212","1.56765676567657","1.6 (1.0-2.4)","2%"
"49019","Grand","47","2087","2.252036415908","2.3 (1.7-3.0)","2%"
"49021","Iron","350","17101","2.04666393778142","2.0 (1.8-2.3)","2%"
"49023","Juab","40","4025","0.993788819875776","1.0 (0.7-1.4)","1%"
"49025","Kane","17","1849","0.91941590048675","0.9 (0.6-1.5)","1%"
"49027","Millard","54","4071","1.32645541635962","1.3 (1.0-1.7)","1%"
"49029","Morgan","50","4360","1.14678899082569","1.1 (0.9-1.5)","1%"
"49031","Piute",,"370",,"NA","suppressed"
"49033","Rich",,"724",,"NA","suppressed"
"49035","Salt Lake","7877","318242","2.47516041251626","2.5 (2.4-2.5)","2%"
"49037","San Juan","38","4903","0.775035692433204","0.8 (0.6-1.1)","1%"
"49039","Sanpete","183","9582","1.90983093299937","1.9 (1.7-2.2)","2%"
"49041","Sevier","164","6480","2.53086419753086","2.5 (2.2-2.9)","3%"
"49043","Summit","158","10880","1.45220588235294","1.5 (1.2-1.7)","1%"
"49045","Tooele","572","23224","2.46296934205994","2.5 (2.3-2.7)","2%"
"49047","Uintah","190","11673","1.62768782660841","1.6 (1.4-1.9)","2%"
"49049","Utah","3617","226292","1.59837731780178","1.6 (1.5-1.7)","2%"
"49051","Wasatch","120","10559","1.1364712567478","1.1 (1.0-1.4)","1%"
"49053","Washington","1063","46748","2.27389407033456","2.3 (2.1-2.4)","2%"
"49055","Wayne","11","683","1.61054172767204","1.6 (0.9-2.9)","2%"
"49057","Weber","1442","73891","1.951523189563","2.0 (1.9-2.1)","2%"
"55001","Adams","45","3136","1.43494897959184","1.4 (1.1-1.9)","1%"
"55003","Ashland","72","3812","1.8887722980063","1.9 (1.5-2.4)","2%"
"55005","Barron","148","9997","1.48044413323997","1.5 (1.3-1.7)","1%"
"55007","Bayfield","38","2717","1.3986013986014","1.4 (1.0-1.9)","1%"
"55009","Brown","1323","66438","1.99133026280141","2.0 (1.9-2.1)","2%"
"55011","Buffalo","35","2823","1.23981579879561","1.2 (0.9-1.7)","1%"
"55013","Burnett","57","2808","2.02991452991453","2.0 (1.6-2.6)","2%"
"55015","Calumet","133","12602","1.05538803364545","1.1 (0.9-1.2)","1%"
"55017","Chippewa","207","14550","1.42268041237113","1.4 (1.2-1.6)","1%"
"55019","Clark","81","10117","0.800632598596422","0.8 (0.6-1.0)","1%"
"55021","Columbia","201","12768","1.57424812030075","1.6 (1.4-1.8)","2%"
"55023","Crawford","57","3496","1.6304347826087","1.6 (1.3-2.1)","2%"
"55025","Dane","2046","132206","1.54758482973541","1.5 (1.5-1.6)","2%"
"55027","Dodge","245","18715","1.30911033930003","1.3 (1.2-1.5)","1%"
"55029","Door","98","4739","2.06794682422452","2.1 (1.7-2.5)","2%"
"55031","Douglas","183","9406","1.94556665957899","1.9 (1.7-2.2)","2%"
"55033","Dunn","128","12998","0.984766887213417","1.0 (0.8-1.2)","1%"
"55035","Eau Claire","381","27809","1.37006005250099","1.4 (1.2-1.5)","1%"
"55037","Florence",,"644",,"NA","suppressed"
"55039","Fond du Lac","373","23843","1.56440045296313","1.6 (1.4-1.7)","2%"
"55041","Forest","38","1895","2.00527704485488","2.0 (1.5-2.7)","2%"
"55043","Grant","132","14817","0.89086859688196","0.9 (0.8-1.1)","1%"
"55045","Green","142","8456","1.67928098391675","1.7 (1.4-2.0)","2%"
"55047","Green Lake","52","4366","1.19102153000458","1.2 (0.9-1.6)","1%"
"55049","Iowa","55","5499","1.00018185124568","1.0 (0.8-1.3)","1%"
"55051","Iron","12","928","1.29310344827586","1.3 (0.7-2.2)","1%"
"55053","Jackson","62","4592","1.35017421602787","1.4 (1.1-1.7)","1%"
"55055","Jefferson","301","20395","1.4758519244913","1.5 (1.3-1.7)","1%"
"55057","Juneau","84","5448","1.54185022026432","1.5 (1.2-1.9)","2%"
"55059","Kenosha","606","42632","1.42146744229687","1.4 (1.3-1.5)","1%"
